"scenario","mean","median","min","max"
<<<<<<< HEAD
"assign_vector_contig_r",0.117333333333333,0.108,0.103,0.141
"assign_vector_noncontig_r",0.103666666666667,0.104,0.103,0.104
"assign_vector_bool_r",0.0366666666666666,0.0339999999999998,0.024,0.052
"assign_vector_contig_mlx",0.0936666666666666,0.0920000000000001,0.0919999999999996,0.097
"assign_vector_noncontig_mlx",0.0949999999999999,0.0949999999999998,0.0939999999999999,0.0960000000000001
"assign_vector_bool_mlx",0.0043333333333336,0.00400000000000045,0.004,0.00500000000000034
"assign_matrix_contig_r",0.00966666666666693,0.00900000000000034,0.00800000000000001,0.0120000000000005
"assign_matrix_noncontig_r",0.00700000000000027,0.00700000000000056,0.00699999999999967,0.00700000000000056
"assign_matrix_bool_r",0.0179999999999998,0.016,0.0129999999999999,0.0249999999999995
"assign_matrix_contig_mlx",0.00800000000000001,0.00800000000000001,0.00800000000000001,0.00800000000000001
"assign_matrix_noncontig_mlx",0.00800000000000001,0.00800000000000001,0.00800000000000001,0.00800000000000001
"assign_matrix_bool_mlx",0.0130000000000002,0.0129999999999999,0.0129999999999999,0.0130000000000008
"subset_vector_contig_r",0.119333333333333,0.115,0.106,0.137
"subset_vector_noncontig_r",0.106,0.106,0.106,0.106000000000001
"subset_vector_bool_r",0.0869999999999997,0.0869999999999997,0.0869999999999997,0.0869999999999997
"subset_vector_contig_mlx",0.103666666666667,0.104,0.103,0.104
"subset_vector_noncontig_mlx",0.106,0.106,0.105,0.107
"subset_matrix_contig_r",0.00533333333333334,0.00400000000000045,0.00399999999999956,0.00800000000000001
"subset_matrix_noncontig_r",0.0136666666666665,0.0139999999999993,0.0130000000000008,0.0139999999999993
"subset_matrix_bool_r",0.00399999999999956,0.00399999999999956,0.00399999999999956,0.00399999999999956
"subset_matrix_contig_mlx",0.00699999999999967,0.00699999999999967,0.00699999999999967,0.00699999999999967
"subset_matrix_noncontig_mlx",0.0139999999999993,0.0139999999999993,0.0139999999999993,0.0139999999999993
"subset_matrix_bool_mlx",0.00533333333333334,0.00500000000000078,0.004999999999999,0.00600000000000023
=======
"assign_vector_contig_r",0.0426666666666666,0.0349999999999999,0.032,0.0609999999999999
"assign_vector_noncontig_r",0.0623333333333334,0.0620000000000003,0.0620000000000003,0.0629999999999997
"assign_vector_bool_r",0.0753333333333333,0.0750000000000002,0.0749999999999997,0.0760000000000001
"assign_vector_contig_mlx",0.0806666666666667,0.081,0.0790000000000002,0.0819999999999999
"assign_vector_noncontig_mlx",0.0866666666666666,0.0869999999999997,0.0859999999999999,0.0870000000000002
"assign_vector_bool_mlx",0.0823333333333331,0.0789999999999997,0.0779999999999998,0.0899999999999999
"assign_matrix_contig_r",0.011333333333333,0.0129999999999999,0.00699999999999967,0.0139999999999993
"assign_matrix_noncontig_r",0.00699999999999997,0.00699999999999967,0.00699999999999967,0.00700000000000056
"assign_matrix_bool_r",0.00699999999999997,0.00699999999999967,0.00699999999999967,0.00700000000000056
"assign_matrix_contig_mlx",0.00733333333333341,0.00700000000000056,0.00699999999999967,0.00800000000000001
"assign_matrix_noncontig_mlx",0.00766666666666686,0.00800000000000001,0.00700000000000056,0.00800000000000001
"assign_matrix_bool_mlx",0.00766666666666656,0.00699999999999967,0.00699999999999967,0.00900000000000034
"subset_vector_contig_r",0.0376666666666665,0.0369999999999999,0.0339999999999998,0.0419999999999998
"subset_vector_noncontig_r",0.0306666666666668,0.0309999999999997,0.0300000000000002,0.0310000000000006
"subset_vector_bool_r",0.04,0.04,0.04,0.04
"subset_vector_contig_mlx",0.0323333333333335,0.032,0.032,0.0330000000000004
"subset_vector_noncontig_mlx",0.0346666666666667,0.0350000000000001,0.0339999999999998,0.0350000000000001
"subset_matrix_contig_r",0.00666666666666623,0.00599999999999934,0.00299999999999923,0.0110000000000001
"subset_matrix_noncontig_r",0.00800000000000001,0.00800000000000001,0.00800000000000001,0.00800000000000001
"subset_matrix_bool_r",0.00566666666666649,0.00599999999999934,0.00499999999999989,0.00600000000000023
"subset_matrix_contig_mlx",0.00400000000000045,0.00400000000000045,0.00400000000000045,0.00400000000000045
"subset_matrix_noncontig_mlx",0.00833333333333375,0.00900000000000034,0.00700000000000056,0.00900000000000034
"subset_matrix_bool_mlx",0.00500000000000019,0.00499999999999989,0.00300000000000011,0.00700000000000056
>>>>>>> experiment/subset-rework
